time, price, volume
2409, 3595, 11774
2410, 3596, 11344
2411, 3596, 15013
2412, 3597, 14608
2413, 3598, 16054
2414, 3599, 12915
2415, 3599, 14711
2416, 3600, 11376
2417, 3600, 15464
2418, 3600, 14422
2419, 3600, 18289
2420, 3601, 15387
2421, 3601, 15777
2422, 3601, 18636
2423, 3601, 12703
2424, 3602, 14443
2425, 3602, 12996
2426, 3601, 13516
2427, 3601, 15906
2428, 3602, 12602
2429, 3602, 16795
2430, 3602, 15385
2431, 3601, 17837
2432, 3602, 12090
2433, 3602, 18808
2434, 3602, 16787
2435, 3602, 15683
2436, 3604, 13163
2437, 3603, 15277
2438, 3602, 13779
2439, 3603, 12721
2440, 3603, 17367
2441, 3603, 16252
2442, 3603, 15677
2443, 3603, 16858
2444, 3603, 17539
2445, 3603, 14960
2446, 3603, 17574
2447, 3603, 17822
2448, 3604, 13302
2449, 3604, 16874
2450, 3603, 14121
2451, 3602, 14787
2452, 3602, 17929
2453, 3602, 16138
2454, 3603, 11148
2455, 3603, 12185
2456, 3603, 13777
2457, 3603, 16972
2458, 3603, 15333
2459, 3603, 17236
2460, 3603, 13801
2461, 3604, 14428
2462, 3604, 17548
2463, 3604, 17420
2464, 3605, 10511
2465, 3605, 12895
2466, 3605, 14154
2467, 3605, 11263
2468, 3605, 14824
2469, 3605, 14831
2470, 3605, 15971
2471, 3605, 15526
2472, 3606, 13828
2473, 3606, 12072
2474, 3606, 14451
2475, 3606, 14550
2476, 3606, 14765
2477, 3606, 19162
2478, 3606, 10493
2479, 3606, 15133
2480, 3606, 16426
2481, 3607, 14739
2482, 3606, 12731
2483, 3606, 20534
2484, 3605, 13974
2485, 3606, 15097
2486, 3606, 17675
2487, 3605, 19485
2488, 3605, 14824
2489, 3604, 13888
2490, 3604, 15920
2491, 3603, 14063
2492, 3602, 15806
2493, 3602, 17141
2494, 3602, 16375
2495, 3602, 16111
2496, 3604, 14349
2497, 3603, 17242
2498, 3604, 10984
2499, 3605, 12631
2500, 3605, 15096
2501, 3606, 11889
2502, 3606, 12819
2503, 3604, 22410
2504, 3604, 12494
2505, 3602, 14427
2506, 3599, 20292
2507, 3596, 19227
2508, 3591, 23950
2509, 3591, 18996
2510, 3591, 14630
2511, 3591, 17933
2512, 3587, 18401
2513, 3588, 15980
2514, 3587, 14572
2515, 3587, 12946
2516, 3585, 16828
2517, 3585, 13067
2518, 3584, 27753
2519, 3584, 23939
2520, 3584, 12601
2521, 3585, 14202
2522, 3584, 15481
2523, 3584, 21731
2524, 3582, 26178
2525, 3583, 13914
2526, 3583, 17261
2527, 3582, 22427
2528, 3582, 17369
2529, 3582, 16118
2530, 3581, 12031
2531, 3582, 27453
2532, 3583, 25721
2533, 3583, 23206
2534, 3583, 24823
2535, 3583, 17986
2536, 3582, 15685
2537, 3582, 22146
2538, 3581, 15850
2539, 3582, 20340
2540, 3582, 13810
2541, 3581, 13340
2542, 3583, 22893
2543, 3585, 14548
2544, 3585, 18440
2545, 3586, 13132
2546, 3585, 26949
2547, 3585, 15895
2548, 3585, 17998
2549, 3584, 12870
2550, 3583, 13376
2551, 3583, 17361
2552, 3583, 17204
2553, 3585, 14554
2554, 3585, 17969
2555, 3585, 16632
2556, 3585, 14003
2557, 3586, 11572
2558, 3586, 15749
2559, 3587, 13329
2560, 3587, 18311
2561, 3587, 22907
2562, 3587, 12691
2563, 3587, 15572
2564, 3587, 15431
2565, 3587, 13431
2566, 3589, 16294
2567, 3588, 14570
2568, 3588, 12402
2569, 3588, 13865
2570, 3586, 13904
2571, 3586, 14508
2572, 3586, 13923
2573, 3587, 11366
2574, 3586, 15391
2575, 3586, 13267
2576, 3587, 16943
2577, 3586, 14267
2578, 3586, 16874
2579, 3587, 13970
2580, 3587, 14127
2581, 3588, 13069
2582, 3589, 14878
2583, 3589, 17763
2584, 3589, 19318
2585, 3588, 14174
2586, 3588, 14919
2587, 3587, 15890
2588, 3587, 17704
2589, 3585, 14584
2590, 3585, 17428
2591, 3586, 17019
2592, 3587, 13110
2593, 3590, 17553
2594, 3590, 12104
2595, 3588, 16717
2596, 3589, 15511
2597, 3588, 19981
2598, 3588, 18616
2599, 3589, 12795
2600, 3589, 13883
2601, 3589, 15694
2602, 3590, 13638
2603, 3590, 18386
2604, 3590, 15062
2605, 3590, 14185
2606, 3589, 15087
2607, 3590, 13198
2608, 3591, 11912
2609, 3591, 14105
2610, 3592, 12801
2611, 3592, 11896
2612, 3593, 12347
2613, 3593, 12940
2614, 3593, 13284
2615, 3593, 18971
2616, 3594, 17602
2617, 3595, 11849
2618, 3595, 18993
2619, 3594, 12055
2620, 3592, 16211
2621, 3591, 18046
2622, 3590, 15134
2623, 3591, 12688
2624, 3591, 11148
2625, 3592, 15452
2626, 3592, 17832
2627, 3591, 15076
2628, 3591, 15876
2629, 3591, 15762
2630, 3590, 17299
2631, 3590, 16510
2632, 3589, 15928
2633, 3589, 16292
2634, 3589, 18738
2635, 3590, 16014
2636, 3589, 15318
2637, 3588, 19827
2638, 3588, 22338
2639, 3587, 16104
2640, 3587, 18776
2641, 3588, 12214
2642, 3587, 19731
2643, 3587, 14825
2644, 3588, 15382
2645, 3588, 14446
2646, 3588, 12692
2647, 3588, 17005
2648, 3589, 15158
2649, 3589, 20151
2650, 3589, 14115
2651, 3588, 12964
2652, 3589, 15573
2653, 3589, 16200
2654, 3590, 14786
2655, 3591, 13857
2656, 3592, 13244
2657, 3591, 14478
2658, 3591, 16090
2659, 3591, 14935
2660, 3591, 17773
2661, 3591, 17901
2662, 3591, 17846
2663, 3591, 19638
2664, 3591, 20915
2665, 3593, 14226
2666, 3593, 11066
2667, 3594, 14314
2668, 3593, 15121
2669, 3593, 18893
2670, 3592, 15229
2671, 3591, 15888
2672, 3589, 18277
2673, 3588, 14770
2674, 3588, 13181
2675, 3588, 15443
2676, 3588, 18483
2677, 3588, 12082
2678, 3588, 14367
2679, 3590, 17803
2680, 3589, 14391
2681, 3589, 17004
2682, 3589, 21028
2683, 3589, 21582
2684, 3589, 19657
2685, 3590, 12819
2686, 3590, 16806
2687, 3590, 14432
2688, 3590, 15821
2689, 3590, 15685
2690, 3590, 15515
2691, 3591, 13721
2692, 3589, 15906
2693, 3589, 19283
2694, 3588, 14376
2695, 3587, 15411
2696, 3588, 11023
2697, 3587, 13506
2698, 3586, 21674
2699, 3585, 13641
2700, 3585, 17463
2701, 3585, 16046
2702, 3586, 14414
2703, 3586, 13993
2704, 3586, 18300
2705, 3586, 22238
2706, 3586, 15769
2707, 3587, 14061
2708, 3587, 14653
2709, 3587, 12267
2710, 3588, 14673
2711, 3588, 16494
2712, 3589, 10845
2713, 3588, 13872
2714, 3588, 17197
2715, 3589, 11579
2716, 3589, 9817
2717, 3589, 14731
2718, 3590, 10706
2719, 3590, 12906
2720, 3589, 15630
2721, 3586, 15096
2722, 3586, 15779
2723, 3586, 15435
2724, 3586, 16007
2725, 3586, 16742
2726, 3587, 12096
2727, 3588, 11848
2728, 3587, 16768
2729, 3584, 15017
2730, 3583, 11733
2731, 3584, 14085
2732, 3584, 16749
2733, 3585, 14161
2734, 3584, 16801
2735, 3585, 11307
2736, 3585, 14294
2737, 3586, 13109
2738, 3586, 18153
2739, 3586, 18455
2740, 3586, 16495
2741, 3586, 12758
2742, 3587, 11070
2743, 3589, 13288
2744, 3589, 15070
2745, 3590, 18111
2746, 3590, 16664
2747, 3590, 14034
2748, 3591, 11486
2749, 3591, 11874
2750, 3591, 15090
2751, 3592, 11702
2752, 3592, 18045
2753, 3593, 13286
2754, 3592, 14452
2755, 3591, 13061
2756, 3590, 19754
2757, 3590, 12486
2758, 3590, 17966
2759, 3590, 16483
2760, 3591, 13310
2761, 3591, 14613
2762, 3591, 13605
2763, 3591, 15146
2764, 3591, 16388
2765, 3590, 16646
2766, 3590, 17875
2767, 3590, 17076
2768, 3589, 20111
2769, 3590, 11006
2770, 3590, 12369
2771, 3590, 15594
2772, 3590, 15712
2773, 3590, 16494
2774, 3589, 12002
2775, 3588, 15869
2776, 3586, 17767
2777, 3586, 17331
2778, 3586, 16014
2779, 3586, 14547
2780, 3586, 16163
2781, 3586, 16833
2782, 3587, 15597
2783, 3588, 12969
2784, 3588, 16312
2785, 3587, 18493
2786, 3587, 17565
2787, 3587, 15651
2788, 3588, 13071
2789, 3588, 16353
2790, 3587, 15858
2791, 3587, 13601
2792, 3587, 16733
2793, 3586, 14426
2794, 3586, 16263
2795, 3586, 14937
2796, 3585, 16736
2797, 3587, 16780
2798, 3587, 16280
2799, 3587, 16580
2800, 3587, 18124
2801, 3587, 15274
2802, 3588, 10960
2803, 3588, 19213
2804, 3589, 14042
2805, 3588, 13146
2806, 3589, 12062
2807, 3589, 19437
2808, 3590, 13289
2809, 3591, 9370
2810, 3593, 17111
2811, 3593, 14757
2812, 3593, 16115
2813, 3592, 15164
2814, 3592, 14944
2815, 3592, 14049
2816, 3592, 16701
2817, 3591, 12676
2818, 3590, 17526
2819, 3590, 14680
2820, 3590, 16635
2821, 3591, 10703
2822, 3591, 16316
2823, 3590, 11203
2824, 3591, 14483
2825, 3591, 14651
2826, 3590, 16232
2827, 3590, 17582
2828, 3588, 16440
2829, 3589, 11943
2830, 3589, 15736
2831, 3588, 16833
2832, 3588, 12804
2833, 3588, 16811
2834, 3588, 15600
2835, 3588, 12173
2836, 3588, 14884
2837, 3588, 14215
2838, 3589, 11734
2839, 3589, 15782
2840, 3589, 18054
2841, 3590, 13824
2842, 3590, 14263
2843, 3589, 17373
2844, 3588, 15329
2845, 3589, 15708
2846, 3587, 14479
2847, 3586, 17450
2848, 3586, 16858
2849, 3585, 16661
2850, 3586, 17026
2851, 3584, 15117
2852, 3583, 10587
2853, 3583, 17075
2854, 3582, 18111
2855, 3582, 12559
2856, 3582, 17868
2857, 3582, 12923
2858, 3582, 17263
2859, 3582, 17772
2860, 3582, 18517
2861, 3582, 16628
2862, 3582, 18772
2863, 3582, 16202
2864, 3581, 12501
2865, 3580, 16523
2866, 3579, 15981
2867, 3578, 14075
2868, 3578, 17816
2869, 3577, 16608
2870, 3577, 19707
2871, 3577, 19176
2872, 3577, 17698
2873, 3576, 16799
2874, 3576, 14911
2875, 3575, 14014
2876, 3574, 17274
2877, 3575, 15690
2878, 3575, 18914
2879, 3575, 13779
2880, 3575, 16315
2881, 3575, 17748
2882, 3575, 16842
2883, 3576, 16914
2884, 3575, 15859
2885, 3576, 15299
2886, 3576, 15876
2887, 3575, 12164
2888, 3574, 16070
2889, 3574, 15776
2890, 3574, 17232
2891, 3574, 12435
2892, 3573, 13762
2893, 3571, 13830
2894, 3571, 20047
2895, 3571, 17997
2896, 3571, 13505
2897, 3571, 14529
2898, 3570, 18264
2899, 3568, 16542
2900, 3570, 18428
2901, 3570, 17465
